,Name,Postal_Code,Coordinates,Venue Type,District
126,Buangkok Square,None,"[1.3840286792222, 103.882006815341]",Shopping Mall,ANG MO KIO
127,The Midtown,None,"[1.37047940965108, 103.895128466923]",Shopping Mall,ALJUNIED
128,Upper Serangoon Shopping Centre,None,"[1.35348088326122, 103.878828409594]",Shopping Mall,ALJUNIED
129,Beauty World Centre,None,"[1.34241264188643, 103.776539385678]",Shopping Mall,JURONG
130,Beauty World Plaza,None,"[1.34178799847019, 103.776304121109]",Shopping Mall,JURONG
131,Bukit Panjang Plaza,None,"[1.37991650665222, 103.764317068535]",Shopping Mall,HOLLAND-BUKIT TIMAH
132,Bukit Timah Plaza,None,"[1.33865677622928, 103.778560467143]",Shopping Mall,JURONG
133,Fajar Shopping Centre,None,"[1.38358020252976, 103.770774778244]",Shopping Mall,BUKIT PANJANG
134,Greenridge Shopping Centre,None,"[1.38541768689995, 103.766235457752]",Shopping Mall,HOLLAND-BUKIT TIMAH
135,Hillion Mall,None,"[1.37849868060834, 103.763022901683]",Shopping Mall,HOLLAND-BUKIT TIMAH
136,HillV2,None,"[1.36355095770679, 103.76423610633]",Shopping Mall,CHUA CHU KANG
137,Junction 10,None,"[1.38060512473524, 103.760041583169]",Shopping Mall,HOLLAND-BUKIT TIMAH
138,Keat Hong Shopping Centre,None,"[1.37743963497469, 103.744383225412]",Shopping Mall,CHUA CHU KANG
139,Limbang Shopping Centre,None,"[1.39222023419996, 103.743611414728]",Shopping Mall,MARSILING-YEW TEE
140,Lot One,None,"[1.38511154927984, 103.745036167492]",Shopping Mall,CHUA CHU KANG
141,Rail Mall,None,"[1.35975852139481, 103.767601371556]",Shopping Mall,HOLLAND-BUKIT TIMAH
142,Sunshine Place,None,"[1.37789727654674, 103.739015486293]",Shopping Mall,CHUA CHU KANG
143,Teck Whye Shopping Centre,None,"[1.3800477264564, 103.752464583648]",Shopping Mall,CHUA CHU KANG
144,West Mall,None,"[1.35018916560505, 103.749021976618]",Shopping Mall,BUKIT BATOK
145,Yew Tee Point,None,"[1.39705741516141, 103.746662121143]",Shopping Mall,MARSILING-YEW TEE
147,Yew Tee Square,None,"[1.39834776480802, 103.747224809089]",Shopping Mall,MARSILING-YEW TEE
148,VivoCity,None,"[1.26439468067256, 103.821808620881]",Shopping Mall,WEST COAST
149,HarbourFront Centre,None,"[1.26379682885331, 103.820219045593]",Shopping Mall,WEST COAST
150,Alexandra Retail Centre,None,"[1.27414893629254, 103.801399416665]",Shopping Mall,WEST COAST
151,321 Clementi,None,"[1.31202491824439, 103.764960537008]",Shopping Mall,JURONG
152,The Clementi Mall,None,"[1.3154967542751, 103.764570204717]",Shopping Mall,JURONG
153,IMM,None,"[1.33489844010888, 103.746734487309]",Shopping Mall,JURONG
154,JCube,None,"[1.33323785085838, 103.740191321438]",Shopping Mall,YUHUA
155,Jem,None,"[1.33320021829132, 103.743170428258]",Shopping Mall,YUHUA
156,Westgate,None,"[1.33428313049536, 103.742870105512]",Shopping Mall,YUHUA
157,Jurong Point,None,"[1.3394520043632, 103.706685012926]",Shopping Mall,PIONEER
158,Pioneer Mall,None,"[1.34159108725751, 103.697020081587]",Shopping Mall,WEST COAST
159,The Star Vista,None,"[1.30697044038323, 103.788420274115]",Shopping Mall,WEST COAST
160,Alexandra Central,None,"[1.28747707652854, 103.805253381137]",Shopping Mall,TANJONG PAGAR
161,Anchorpoint,None,"[1.28893477974497, 103.805607779399]",Shopping Mall,TANJONG PAGAR
163,Boon Lay Shopping Centre,None,"[1.34637376380504, 103.712472819666]",Shopping Mall,WEST COAST
164,Grantral Mall,None,"[1.31423131705905, 103.765097562497]",Shopping Mall,JURONG
165,Fairprice Hub,None,"[1.32539180665075, 103.678392265337]",Shopping Mall,WEST COAST
166,Gek Poh Shopping Centre,None,"[1.34874164662883, 103.69773963001]",Shopping Mall,WEST COAST
167,Rochester Mall,None,"[1.30540765569962, 103.788446680148]",Shopping Mall,WEST COAST
168,Taman Jurong Shopping Centre,None,"[1.33484487471259, 103.720462024278]",Shopping Mall,JURONG
169,West Coast Plaza,None,"[1.30374258287197, 103.766092882107]",Shopping Mall,WEST COAST
170,Queensway Shopping Centre,None,"[1.2876179255874, 103.803391140455]",Shopping Mall,TANJONG PAGAR
